"date","city","province","total"
2020-01-20,"busan","gyeongsang",0
2020-01-20,"chungbuk","chungcheong",0
2020-01-20,"chungnam","chungcheong",0
2020-01-20,"daegu","gyeongsang",0
2020-01-20,"daejeon","chungcheong",0
2020-01-20,"gangwon","gangwon",0
2020-01-20,"gwangju","jeolla",0
2020-01-20,"gyeongbuk","gyeongsang",0
2020-01-20,"gyeonggi","gyeonggi",0
2020-01-20,"gyeongnam","gyeongsang",0
2020-01-20,"incheon","gyeonggi",1
2020-01-20,"jeju","jeolla",0
2020-01-20,"jeonbuk","jeolla",0
2020-01-20,"jeonnam","jeolla",0
2020-01-20,"quarantine_station",NA,0
2020-01-20,"sejong","chungcheong",0
2020-01-20,"seoul","gyeonggi",0
2020-01-20,"ulsan","gyeongsang",0
2020-01-24,"busan","gyeongsang",0
2020-01-24,"chungbuk","chungcheong",0
2020-01-24,"chungnam","chungcheong",0
2020-01-24,"daegu","gyeongsang",0
2020-01-24,"daejeon","chungcheong",0
2020-01-24,"gangwon","gangwon",0
2020-01-24,"gwangju","jeolla",0
2020-01-24,"gyeongbuk","gyeongsang",0
2020-01-24,"gyeonggi","gyeonggi",0
2020-01-24,"gyeongnam","gyeongsang",0
2020-01-24,"incheon","gyeonggi",0
2020-01-24,"jeju","jeolla",0
2020-01-24,"jeonbuk","jeolla",0
2020-01-24,"jeonnam","jeolla",0
2020-01-24,"quarantine_station",NA,0
2020-01-24,"sejong","chungcheong",0
2020-01-24,"seoul","gyeonggi",1
2020-01-24,"ulsan","gyeongsang",0
2020-01-26,"busan","gyeongsang",0
2020-01-26,"chungbuk","chungcheong",0
2020-01-26,"chungnam","chungcheong",0
2020-01-26,"daegu","gyeongsang",0
2020-01-26,"daejeon","chungcheong",0
2020-01-26,"gangwon","gangwon",0
2020-01-26,"gwangju","jeolla",0
2020-01-26,"gyeongbuk","gyeongsang",0
2020-01-26,"gyeonggi","gyeonggi",1
2020-01-26,"gyeongnam","gyeongsang",0
2020-01-26,"incheon","gyeonggi",0
2020-01-26,"jeju","jeolla",0
2020-01-26,"jeonbuk","jeolla",0
2020-01-26,"jeonnam","jeolla",0
2020-01-26,"quarantine_station",NA,0
2020-01-26,"sejong","chungcheong",0
2020-01-26,"seoul","gyeonggi",0
2020-01-26,"ulsan","gyeongsang",0
2020-01-27,"busan","gyeongsang",0
2020-01-27,"chungbuk","chungcheong",0
2020-01-27,"chungnam","chungcheong",0
2020-01-27,"daegu","gyeongsang",0
2020-01-27,"daejeon","chungcheong",0
2020-01-27,"gangwon","gangwon",0
2020-01-27,"gwangju","jeolla",0
2020-01-27,"gyeongbuk","gyeongsang",0
2020-01-27,"gyeonggi","gyeonggi",1
2020-01-27,"gyeongnam","gyeongsang",0
2020-01-27,"incheon","gyeonggi",0
2020-01-27,"jeju","jeolla",0
2020-01-27,"jeonbuk","jeolla",0
2020-01-27,"jeonnam","jeolla",0
2020-01-27,"quarantine_station",NA,0
2020-01-27,"sejong","chungcheong",0
2020-01-27,"seoul","gyeonggi",0
2020-01-27,"ulsan","gyeongsang",0
2020-01-30,"busan","gyeongsang",0
2020-01-30,"chungbuk","chungcheong",0
2020-01-30,"chungnam","chungcheong",0
2020-01-30,"daegu","gyeongsang",0
2020-01-30,"daejeon","chungcheong",0
2020-01-30,"gangwon","gangwon",0
2020-01-30,"gwangju","jeolla",0
2020-01-30,"gyeongbuk","gyeongsang",0
2020-01-30,"gyeonggi","gyeonggi",0
2020-01-30,"gyeongnam","gyeongsang",0
2020-01-30,"incheon","gyeonggi",0
2020-01-30,"jeju","jeolla",0
2020-01-30,"jeonbuk","jeolla",0
2020-01-30,"jeonnam","jeolla",0
2020-01-30,"quarantine_station",NA,0
2020-01-30,"sejong","chungcheong",0
2020-01-30,"seoul","gyeonggi",3
2020-01-30,"ulsan","gyeongsang",0
2020-01-31,"busan","gyeongsang",0
2020-01-31,"chungbuk","chungcheong",0
2020-01-31,"chungnam","chungcheong",0
2020-01-31,"daegu","gyeongsang",0
2020-01-31,"daejeon","chungcheong",0
2020-01-31,"gangwon","gangwon",0
2020-01-31,"gwangju","jeolla",0
2020-01-31,"gyeongbuk","gyeongsang",0
2020-01-31,"gyeonggi","gyeonggi",0
2020-01-31,"gyeongnam","gyeongsang",0
2020-01-31,"incheon","gyeonggi",0
2020-01-31,"jeju","jeolla",0
2020-01-31,"jeonbuk","jeolla",1
2020-01-31,"jeonnam","jeolla",0
2020-01-31,"quarantine_station",NA,0
2020-01-31,"sejong","chungcheong",0
2020-01-31,"seoul","gyeonggi",3
2020-01-31,"ulsan","gyeongsang",0
2020-02-01,"busan","gyeongsang",0
2020-02-01,"chungbuk","chungcheong",0
2020-02-01,"chungnam","chungcheong",0
2020-02-01,"daegu","gyeongsang",0
2020-02-01,"daejeon","chungcheong",0
2020-02-01,"gangwon","gangwon",0
2020-02-01,"gwangju","jeolla",0
2020-02-01,"gyeongbuk","gyeongsang",0
2020-02-01,"gyeonggi","gyeonggi",1
2020-02-01,"gyeongnam","gyeongsang",0
2020-02-01,"incheon","gyeonggi",0
2020-02-01,"jeju","jeolla",0
2020-02-01,"jeonbuk","jeolla",0
2020-02-01,"jeonnam","jeolla",0
2020-02-01,"quarantine_station",NA,0
2020-02-01,"sejong","chungcheong",0
2020-02-01,"seoul","gyeonggi",0
2020-02-01,"ulsan","gyeongsang",0
2020-02-02,"busan","gyeongsang",0
2020-02-02,"chungbuk","chungcheong",0
2020-02-02,"chungnam","chungcheong",0
2020-02-02,"daegu","gyeongsang",0
2020-02-02,"daejeon","chungcheong",0
2020-02-02,"gangwon","gangwon",0
2020-02-02,"gwangju","jeolla",0
2020-02-02,"gyeongbuk","gyeongsang",0
2020-02-02,"gyeonggi","gyeonggi",2
2020-02-02,"gyeongnam","gyeongsang",0
2020-02-02,"incheon","gyeonggi",0
2020-02-02,"jeju","jeolla",0
2020-02-02,"jeonbuk","jeolla",0
2020-02-02,"jeonnam","jeolla",0
2020-02-02,"quarantine_station",NA,0
2020-02-02,"sejong","chungcheong",0
2020-02-02,"seoul","gyeonggi",0
2020-02-02,"ulsan","gyeongsang",0
2020-02-04,"busan","gyeongsang",0
2020-02-04,"chungbuk","chungcheong",0
2020-02-04,"chungnam","chungcheong",0
2020-02-04,"daegu","gyeongsang",0
2020-02-04,"daejeon","chungcheong",0
2020-02-04,"gangwon","gangwon",0
2020-02-04,"gwangju","jeolla",1
2020-02-04,"gyeongbuk","gyeongsang",0
2020-02-04,"gyeonggi","gyeonggi",0
2020-02-04,"gyeongnam","gyeongsang",0
2020-02-04,"incheon","gyeonggi",0
2020-02-04,"jeju","jeolla",0
2020-02-04,"jeonbuk","jeolla",0
2020-02-04,"jeonnam","jeolla",0
2020-02-04,"quarantine_station",NA,0
2020-02-04,"sejong","chungcheong",0
2020-02-04,"seoul","gyeonggi",0
2020-02-04,"ulsan","gyeongsang",0
2020-02-05,"busan","gyeongsang",0
2020-02-05,"chungbuk","chungcheong",0
2020-02-05,"chungnam","chungcheong",0
2020-02-05,"daegu","gyeongsang",0
2020-02-05,"daejeon","chungcheong",0
2020-02-05,"gangwon","gangwon",0
2020-02-05,"gwangju","jeolla",1
2020-02-05,"gyeongbuk","gyeongsang",0
2020-02-05,"gyeonggi","gyeonggi",1
2020-02-05,"gyeongnam","gyeongsang",0
2020-02-05,"incheon","gyeonggi",0
2020-02-05,"jeju","jeolla",0
2020-02-05,"jeonbuk","jeolla",0
2020-02-05,"jeonnam","jeolla",0
2020-02-05,"quarantine_station",NA,0
2020-02-05,"sejong","chungcheong",0
2020-02-05,"seoul","gyeonggi",0
2020-02-05,"ulsan","gyeongsang",0
2020-02-06,"busan","gyeongsang",0
2020-02-06,"chungbuk","chungcheong",0
2020-02-06,"chungnam","chungcheong",0
2020-02-06,"daegu","gyeongsang",0
2020-02-06,"daejeon","chungcheong",0
2020-02-06,"gangwon","gangwon",0
2020-02-06,"gwangju","jeolla",0
2020-02-06,"gyeongbuk","gyeongsang",0
2020-02-06,"gyeonggi","gyeonggi",1
2020-02-06,"gyeongnam","gyeongsang",0
2020-02-06,"incheon","gyeonggi",0
2020-02-06,"jeju","jeolla",0
2020-02-06,"jeonbuk","jeolla",0
2020-02-06,"jeonnam","jeolla",1
2020-02-06,"quarantine_station",NA,0
2020-02-06,"sejong","chungcheong",0
2020-02-06,"seoul","gyeonggi",3
2020-02-06,"ulsan","gyeongsang",0
2020-02-07,"busan","gyeongsang",0
2020-02-07,"chungbuk","chungcheong",0
2020-02-07,"chungnam","chungcheong",0
2020-02-07,"daegu","gyeongsang",0
2020-02-07,"daejeon","chungcheong",0
2020-02-07,"gangwon","gangwon",0
2020-02-07,"gwangju","jeolla",0
2020-02-07,"gyeongbuk","gyeongsang",0
2020-02-07,"gyeonggi","gyeonggi",0
2020-02-07,"gyeongnam","gyeongsang",0
2020-02-07,"incheon","gyeonggi",0
2020-02-07,"jeju","jeolla",0
2020-02-07,"jeonbuk","jeolla",0
2020-02-07,"jeonnam","jeolla",0
2020-02-07,"quarantine_station",NA,0
2020-02-07,"sejong","chungcheong",0
2020-02-07,"seoul","gyeonggi",0
2020-02-07,"ulsan","gyeongsang",0
2020-02-09,"busan","gyeongsang",0
2020-02-09,"chungbuk","chungcheong",0
2020-02-09,"chungnam","chungcheong",0
2020-02-09,"daegu","gyeongsang",0
2020-02-09,"daejeon","chungcheong",0
2020-02-09,"gangwon","gangwon",0
2020-02-09,"gwangju","jeolla",0
2020-02-09,"gyeongbuk","gyeongsang",0
2020-02-09,"gyeonggi","gyeonggi",3
2020-02-09,"gyeongnam","gyeongsang",0
2020-02-09,"incheon","gyeonggi",0
2020-02-09,"jeju","jeolla",0
2020-02-09,"jeonbuk","jeolla",0
2020-02-09,"jeonnam","jeolla",0
2020-02-09,"quarantine_station",NA,0
2020-02-09,"sejong","chungcheong",0
2020-02-09,"seoul","gyeonggi",0
2020-02-09,"ulsan","gyeongsang",0
2020-02-11,"busan","gyeongsang",0
2020-02-11,"chungbuk","chungcheong",0
2020-02-11,"chungnam","chungcheong",0
2020-02-11,"daegu","gyeongsang",0
2020-02-11,"daejeon","chungcheong",0
2020-02-11,"gangwon","gangwon",0
2020-02-11,"gwangju","jeolla",0
2020-02-11,"gyeongbuk","gyeongsang",0
2020-02-11,"gyeonggi","gyeonggi",1
2020-02-11,"gyeongnam","gyeongsang",0
2020-02-11,"incheon","gyeonggi",0
2020-02-11,"jeju","jeolla",0
2020-02-11,"jeonbuk","jeolla",0
2020-02-11,"jeonnam","jeolla",0
2020-02-11,"quarantine_station",NA,0
2020-02-11,"sejong","chungcheong",0
2020-02-11,"seoul","gyeonggi",0
2020-02-11,"ulsan","gyeongsang",0
2020-02-16,"busan","gyeongsang",0
2020-02-16,"chungbuk","chungcheong",0
2020-02-16,"chungnam","chungcheong",0
2020-02-16,"daegu","gyeongsang",0
2020-02-16,"daejeon","chungcheong",0
2020-02-16,"gangwon","gangwon",0
2020-02-16,"gwangju","jeolla",0
2020-02-16,"gyeongbuk","gyeongsang",0
2020-02-16,"gyeonggi","gyeonggi",0
2020-02-16,"gyeongnam","gyeongsang",0
2020-02-16,"incheon","gyeonggi",0
2020-02-16,"jeju","jeolla",0
2020-02-16,"jeonbuk","jeolla",0
2020-02-16,"jeonnam","jeolla",0
2020-02-16,"quarantine_station",NA,0
2020-02-16,"sejong","chungcheong",0
2020-02-16,"seoul","gyeonggi",1
2020-02-16,"ulsan","gyeongsang",0
2020-02-17,"busan","gyeongsang",0
2020-02-17,"chungbuk","chungcheong",0
2020-02-17,"chungnam","chungcheong",0
2020-02-17,"daegu","gyeongsang",0
2020-02-17,"daejeon","chungcheong",0
2020-02-17,"gangwon","gangwon",0
2020-02-17,"gwangju","jeolla",0
2020-02-17,"gyeongbuk","gyeongsang",0
2020-02-17,"gyeonggi","gyeonggi",0
2020-02-17,"gyeongnam","gyeongsang",0
2020-02-17,"incheon","gyeonggi",0
2020-02-17,"jeju","jeolla",0
2020-02-17,"jeonbuk","jeolla",0
2020-02-17,"jeonnam","jeolla",0
2020-02-17,"quarantine_station",NA,0
2020-02-17,"sejong","chungcheong",0
2020-02-17,"seoul","gyeonggi",1
2020-02-17,"ulsan","gyeongsang",0
2020-02-18,"busan","gyeongsang",0
2020-02-18,"chungbuk","chungcheong",0
2020-02-18,"chungnam","chungcheong",0
2020-02-18,"daegu","gyeongsang",1
2020-02-18,"daejeon","chungcheong",0
2020-02-18,"gangwon","gangwon",0
2020-02-18,"gwangju","jeolla",0
2020-02-18,"gyeongbuk","gyeongsang",0
2020-02-18,"gyeonggi","gyeonggi",0
2020-02-18,"gyeongnam","gyeongsang",0
2020-02-18,"incheon","gyeonggi",0
2020-02-18,"jeju","jeolla",0
2020-02-18,"jeonbuk","jeolla",0
2020-02-18,"jeonnam","jeolla",0
2020-02-18,"quarantine_station",NA,0
2020-02-18,"sejong","chungcheong",0
2020-02-18,"seoul","gyeonggi",0
2020-02-18,"ulsan","gyeongsang",0
2020-02-19,"busan","gyeongsang",0
2020-02-19,"chungbuk","chungcheong",0
2020-02-19,"chungnam","chungcheong",0
2020-02-19,"daegu","gyeongsang",15
2020-02-19,"daejeon","chungcheong",0
2020-02-19,"gangwon","gangwon",0
2020-02-19,"gwangju","jeolla",0
2020-02-19,"gyeongbuk","gyeongsang",3
2020-02-19,"gyeonggi","gyeonggi",0
2020-02-19,"gyeongnam","gyeongsang",0
2020-02-19,"incheon","gyeonggi",0
2020-02-19,"jeju","jeolla",0
2020-02-19,"jeonbuk","jeolla",0
2020-02-19,"jeonnam","jeolla",0
2020-02-19,"quarantine_station",NA,0
2020-02-19,"sejong","chungcheong",0
2020-02-19,"seoul","gyeonggi",2
2020-02-19,"ulsan","gyeongsang",0
2020-02-20,"busan","gyeongsang",0
2020-02-20,"chungbuk","chungcheong",0
2020-02-20,"chungnam","chungcheong",0
2020-02-20,"daegu","gyeongsang",30
2020-02-20,"daejeon","chungcheong",0
2020-02-20,"gangwon","gangwon",0
2020-02-20,"gwangju","jeolla",0
2020-02-20,"gyeongbuk","gyeongsang",21
2020-02-20,"gyeonggi","gyeonggi",0
2020-02-20,"gyeongnam","gyeongsang",0
2020-02-20,"incheon","gyeonggi",0
2020-02-20,"jeju","jeolla",0
2020-02-20,"jeonbuk","jeolla",0
2020-02-20,"jeonnam","jeolla",0
2020-02-20,"quarantine_station",NA,0
2020-02-20,"sejong","chungcheong",0
2020-02-20,"seoul","gyeonggi",2
2020-02-20,"ulsan","gyeongsang",0
2020-02-21,"busan","gyeongsang",0
2020-02-21,"chungbuk","chungcheong",1
2020-02-21,"chungnam","chungcheong",1
2020-02-21,"daegu","gyeongsang",80
2020-02-21,"daejeon","chungcheong",0
2020-02-21,"gangwon","gangwon",0
2020-02-21,"gwangju","jeolla",2
2020-02-21,"gyeongbuk","gyeongsang",3
2020-02-21,"gyeonggi","gyeonggi",2
2020-02-21,"gyeongnam","gyeongsang",4
2020-02-21,"incheon","gyeonggi",0
2020-02-21,"jeju","jeolla",1
2020-02-21,"jeonbuk","jeolla",1
2020-02-21,"jeonnam","jeolla",0
2020-02-21,"quarantine_station",NA,0
2020-02-21,"sejong","chungcheong",0
2020-02-21,"seoul","gyeonggi",5
2020-02-21,"ulsan","gyeongsang",0
2020-02-22,"busan","gyeongsang",3
2020-02-22,"chungbuk","chungcheong",2
2020-02-22,"chungnam","chungcheong",0
2020-02-22,"daegu","gyeongsang",83
2020-02-22,"daejeon","chungcheong",2
2020-02-22,"gangwon","gangwon",5
2020-02-22,"gwangju","jeolla",3
2020-02-22,"gyeongbuk","gyeongsang",117
2020-02-22,"gyeonggi","gyeonggi",6
2020-02-22,"gyeongnam","gyeongsang",0
2020-02-22,"incheon","gyeonggi",0
2020-02-22,"jeju","jeolla",1
2020-02-22,"jeonbuk","jeolla",1
2020-02-22,"jeonnam","jeolla",1
2020-02-22,"quarantine_station",NA,0
2020-02-22,"sejong","chungcheong",1
2020-02-22,"seoul","gyeonggi",3
2020-02-22,"ulsan","gyeongsang",1
2020-02-23,"busan","gyeongsang",8
2020-02-23,"chungbuk","chungcheong",0
2020-02-23,"chungnam","chungcheong",0
2020-02-23,"daegu","gyeongsang",117
2020-02-23,"daejeon","chungcheong",1
2020-02-23,"gangwon","gangwon",0
2020-02-23,"gwangju","jeolla",2
2020-02-23,"gyeongbuk","gyeongsang",25
2020-02-23,"gyeonggi","gyeonggi",4
2020-02-23,"gyeongnam","gyeongsang",10
2020-02-23,"incheon","gyeonggi",0
2020-02-23,"jeju","jeolla",1
2020-02-23,"jeonbuk","jeolla",0
2020-02-23,"jeonnam","jeolla",0
2020-02-23,"quarantine_station",NA,0
2020-02-23,"sejong","chungcheong",0
2020-02-23,"seoul","gyeonggi",1
2020-02-23,"ulsan","gyeongsang",0
2020-02-24,"busan","gyeongsang",15
2020-02-24,"chungbuk","chungcheong",0
2020-02-24,"chungnam","chungcheong",0
2020-02-24,"daegu","gyeongsang",173
2020-02-24,"daejeon","chungcheong",0
2020-02-24,"gangwon","gangwon",0
2020-02-24,"gwangju","jeolla",1
2020-02-24,"gyeongbuk","gyeongsang",23
2020-02-24,"gyeonggi","gyeonggi",11
2020-02-24,"gyeongnam","gyeongsang",3
2020-02-24,"incheon","gyeonggi",0
2020-02-24,"jeju","jeolla",0
2020-02-24,"jeonbuk","jeolla",0
2020-02-24,"jeonnam","jeolla",0
2020-02-24,"quarantine_station",NA,0
2020-02-24,"sejong","chungcheong",0
2020-02-24,"seoul","gyeonggi",4
2020-02-24,"ulsan","gyeongsang",1
2020-02-25,"busan","gyeongsang",8
2020-02-25,"chungbuk","chungcheong",1
2020-02-25,"chungnam","chungcheong",1
2020-02-25,"daegu","gyeongsang",60
2020-02-25,"daejeon","chungcheong",0
2020-02-25,"gangwon","gangwon",0
2020-02-25,"gwangju","jeolla",0
2020-02-25,"gyeongbuk","gyeongsang",56
2020-02-25,"gyeonggi","gyeonggi",7
2020-02-25,"gyeongnam","gyeongsang",3
2020-02-25,"incheon","gyeonggi",0
2020-02-25,"jeju","jeolla",0
2020-02-25,"jeonbuk","jeolla",0
2020-02-25,"jeonnam","jeolla",0
2020-02-25,"quarantine_station",NA,0
2020-02-25,"sejong","chungcheong",0
2020-02-25,"seoul","gyeonggi",6
2020-02-25,"ulsan","gyeongsang",1
2020-02-26,"busan","gyeongsang",16
2020-02-26,"chungbuk","chungcheong",0
2020-02-26,"chungnam","chungcheong",1
2020-02-26,"daegu","gyeongsang",167
2020-02-26,"daejeon","chungcheong",2
2020-02-26,"gangwon","gangwon",0
2020-02-26,"gwangju","jeolla",0
2020-02-26,"gyeongbuk","gyeongsang",68
2020-02-26,"gyeonggi","gyeonggi",9
2020-02-26,"gyeongnam","gyeongsang",11
2020-02-26,"incheon","gyeonggi",1
2020-02-26,"jeju","jeolla",0
2020-02-26,"jeonbuk","jeolla",0
2020-02-26,"jeonnam","jeolla",0
2020-02-26,"quarantine_station",NA,0
2020-02-26,"sejong","chungcheong",0
2020-02-26,"seoul","gyeonggi",8
2020-02-26,"ulsan","gyeongsang",1
2020-02-27,"busan","gyeongsang",3
2020-02-27,"chungbuk","chungcheong",3
2020-02-27,"chungnam","chungcheong",9
2020-02-27,"daegu","gyeongsang",422
2020-02-27,"daejeon","chungcheong",4
2020-02-27,"gangwon","gangwon",0
2020-02-27,"gwangju","jeolla",0
2020-02-27,"gyeongbuk","gyeongsang",28
2020-02-27,"gyeonggi","gyeonggi",11
2020-02-27,"gyeongnam","gyeongsang",9
2020-02-27,"incheon","gyeonggi",0
2020-02-27,"jeju","jeolla",0
2020-02-27,"jeonbuk","jeolla",2
2020-02-27,"jeonnam","jeolla",0
2020-02-27,"quarantine_station",NA,0
2020-02-27,"sejong","chungcheong",0
2020-02-27,"seoul","gyeonggi",7
2020-02-27,"ulsan","gyeongsang",5
2020-02-28,"busan","gyeongsang",4
2020-02-28,"chungbuk","chungcheong",1
2020-02-28,"chungnam","chungcheong",23
2020-02-28,"daegu","gyeongsang",447
2020-02-28,"daejeon","chungcheong",5
2020-02-28,"gangwon","gangwon",1
2020-02-28,"gwangju","jeolla",0
2020-02-28,"gyeongbuk","gyeongsang",64
2020-02-28,"gyeonggi","gyeonggi",10
